Date,Adj Close,Close,High,Low,Open,Volume
2022-11-07,1184.43,1202.95,1204.65,1187.9,1195.75,11789748
2022-11-09,1183.25,1201.75,1210.03,1195.31,1204.65,11254205
2022-11-10,1168.93,1187.21,1198.31,1182.82,1195.28,5966242
2022-11-11,1195.88,1214.58,1216.51,1194.36,1199.9,12310132
2022-11-14,1190.09,1208.69,1219.28,1202.28,1214.09,9043112
2022-11-15,1184.75,1203.27,1212.08,1195.28,1210.19,7086433
2022-11-16,1177.95,1196.37,1207.26,1191.29,1204.51,9716161
2022-11-17,1181.0,1199.46,1205.9,1190.67,1192.95,6661451
2022-11-18,1180.36,1198.82,1204.05,1186.56,1203.01,5303197
2022-11-21,1159.12,1177.24,1194.36,1173.64,1194.36,6390268
2022-11-22,1165.55,1183.77,1185.36,1170.59,1174.52,6611488
2022-11-23,1161.91,1180.08,1189.7,1177.86,1188.36,6413408
2022-11-24,1171.93,1190.25,1197.13,1175.99,1184.21,9389439
2022-11-25,1189.43,1208.02,1211.39,1191.64,1194.82,7349922
2022-11-28,1230.3,1249.53,1255.76,1154.67,1204.01,31527484
2022-11-29,1232.41,1251.68,1260.66,1243.28,1247.87,11058913
2022-11-30,1241.11,1260.52,1267.02,1245.22,1251.82,26164986
2022-12-01,1237.46,1256.8,1271.43,1253.43,1265.34,9485801
2022-12-02,1236.93,1256.27,1268.2,1246.33,1259.89,11589592
2022-12-05,1218.89,1237.95,1253.78,1235.9,1251.59,14828536
2022-12-06,1222.42,1241.53,1244.67,1228.05,1229.94,8594245
2022-12-07,1204.38,1223.21,1243.74,1219.35,1239.13,8462111
2022-12-08,1203.81,1222.63,1229.9,1218.41,1227.59,7757008
2022-12-09,1185.56,1204.1,1227.59,1200.75,1221.13,12655763
2022-12-12,1187.38,1205.95,1210.51,1192.98,1193.21,9479842
2022-12-13,1192.79,1211.44,1215.13,1202.99,1205.95,8333348
2022-12-14,1188.47,1207.05,1217.88,1204.98,1217.28,7268947
2022-12-15,1171.59,1189.91,1206.82,1186.52,1201.05,8688551
2022-12-16,1165.8,1184.02,1208.58,1180.59,1186.52,15837349
2022-12-19,1181.11,1199.58,1201.75,1184.53,1191.13,7729933
2022-12-20,1191.33,1209.96,1211.9,1184.21,1192.47,7467588
2022-12-21,1174.39,1192.75,1215.13,1188.87,1209.59,8527550
2022-12-22,1171.34,1189.65,1202.05,1184.55,1198.98,7451122
2022-12-23,1136.99,1154.76,1195.52,1150.17,1182.96,10257115
2022-12-26,1146.92,1164.85,1173.13,1150.24,1160.56,5990242
2022-12-27,1156.3,1174.38,1176.27,1160.79,1167.59,5763271
2022-12-28,1156.19,1174.26,1176.73,1163.67,1171.29,7459393
2022-12-29,1155.66,1173.73,1176.32,1165.52,1166.21,6930648
2022-12-30,1157.44,1175.53,1189.29,1172.72,1174.56,7289476
2023-01-02,1170.48,1188.78,1190.21,1175.99,1176.82,5316175
2023-01-03,1161.91,1180.08,1187.44,1175.81,1183.77,7658932
2023-01-04,1144.42,1162.31,1181.92,1160.21,1180.06,9264891
2023-01-05,1142.37,1160.23,1170.55,1155.6,1164.59,13637099
2023-01-06,1152.76,1170.78,1175.88,1162.2,1166.05,6349597
2023-01-09,1179.97,1198.42,1200.82,1173.76,1174.66,10722753
2023-01-10,1162.53,1180.7,1202.67,1174.98,1202.67,8047142
2023-01-11,1147.87,1165.82,1180.52,1163.49,1177.98,11509553
2023-01-12,1123.08,1140.64,1168.75,1137.6,1165.22,17688773
2023-01-13,1121.27,1138.8,1141.24,1123.57,1134.55,20618583
2023-01-16,1110.59,1127.95,1144.36,1120.06,1141.15,13623855
2023-01-17,1126.36,1143.97,1145.9,1130.95,1134.37,10751000
2023-01-18,1124.49,1142.07,1149.64,1135.45,1141.52,13448286
2023-01-19,1123.29,1140.85,1145.05,1133.74,1141.24,11940054
2023-01-20,1109.93,1127.28,1142.21,1124.79,1142.21,14930286
2023-01-23,1104.32,1121.58,1138.15,1119.14,1130.21,10954118
2023-01-24,1097.8,1114.96,1127.74,1101.76,1126.06,16488755
2023-01-25,1082.62,1099.55,1114.38,1098.37,1113.35,12385018
2023-01-27,1062.08,1078.69,1101.76,1066.83,1100.4,25830975
2023-01-30,1072.26,1089.02,1094.63,1061.91,1076.08,21772103
2023-01-31,1069.58,1086.3,1101.9,1080.37,1099.29,22691594
2023-02-01,1063.24,1079.86,1098.35,1063.76,1098.35,19347800
2023-02-02,1057.36,1073.89,1083.6,1066.53,1069.76,13662663
2023-02-03,1058.29,1074.83,1084.06,1058.22,1084.06,24699575
2023-02-06,1050.31,1066.73,1071.14,1064.13,1068.37,14837879
2023-02-07,1047.79,1064.17,1074.09,1058.22,1066.99,15135435
2023-02-08,1068.72,1085.42,1089.09,1064.68,1067.45,21160332
2023-02-09,1070.58,1087.32,1094.15,1077.14,1086.12,13172763
2023-02-10,1061.76,1078.36,1086.79,1071.28,1086.79,10790445
2023-02-13,1055.72,1072.23,1084.52,1067.7,1080.0,10352493
2023-02-14,1080.6,1097.49,1099.25,1072.36,1075.27,14321920
2023-02-15,1105.07,1122.34,1124.77,1095.14,1096.52,33503591
2023-02-16,1104.2,1121.47,1137.04,1119.16,1130.42,17264487
2023-02-17,1108.82,1126.15,1129.52,1112.49,1116.83,11809520
2023-02-20,1097.09,1114.25,1130.56,1112.26,1128.37,8836937
2023-02-21,1106.04,1123.34,1129.2,1113.3,1118.68,13311592
2023-02-22,1080.96,1097.86,1121.44,1096.09,1119.58,11024335
2023-02-23,1075.78,1092.6,1105.18,1089.76,1097.45,9851910
2023-02-24,1083.14,1100.08,1105.82,1092.83,1094.68,9434053
2023-02-27,1075.94,1092.76,1102.82,1085.31,1099.29,11199715
2023-02-28,1055.36,1071.86,1092.37,1067.75,1087.34,21994038
2023-03-01,1065.06,1081.71,1082.45,1072.18,1081.76,11551145
2023-03-02,1056.95,1073.47,1085.29,1071.42,1078.53,9333535
2023-03-03,1083.92,1100.86,1104.58,1080.62,1084.13,14643807
2023-03-06,1094.5,1111.61,1118.95,1107.6,1107.6,10171916
2023-03-08,1098.43,1115.61,1116.37,1100.68,1111.61,15782657
2023-03-09,1072.03,1088.79,1115.4,1086.88,1114.98,16235128
2023-03-10,1055.42,1071.93,1081.76,1068.4,1080.6,13334091
2023-03-13,1038.07,1054.3,1081.76,1049.91,1074.83,12771592
2023-03-14,1034.18,1050.35,1063.73,1047.17,1052.22,16027522
2023-03-15,1016.51,1032.4,1060.67,1027.94,1054.11,21728555
2023-03-16,1011.44,1027.25,1040.22,1016.31,1035.14,18363159
2023-03-17,1010.17,1025.96,1039.27,1021.16,1035.95,34014213
2023-03-20,1000.24,1015.88,1024.53,1006.07,1022.22,19524589
2023-03-21,1031.34,1047.47,1049.45,1023.15,1024.05,21400360
2023-03-22,1034.48,1050.65,1057.5,1047.6,1054.53,10920094
2023-03-23,1021.39,1037.36,1047.56,1035.17,1046.68,16249370
2023-03-24,1001.17,1016.82,1038.37,1014.38,1036.18,12375945
2023-03-27,1016.73,1032.63,1040.22,1015.39,1023.38,14054323
2023-03-28,1021.48,1037.45,1041.37,1032.38,1036.07,12576424
2023-03-29,1015.44,1031.31,1035.97,1020.42,1033.3,18804065
