Open,High,Low,Close,Volume,Body,Range,Upper_Wick,Lower_Wick,Body_Ratio,Upper_Wick_Ratio,Lower_Wick_Ratio,Open_1,High_1,Low_1,Close_1,Body_1,Range_1,Upper_Wick_1,Lower_Wick_1,Body_Ratio_1,Upper_Wick_Ratio_1,Lower_Wick_Ratio_1,Open_2,High_2,Low_2,Close_2,Body_2,Range_2,Upper_Wick_2,Lower_Wick_2,Body_Ratio_2,Upper_Wick_Ratio_2,Lower_Wick_Ratio_2,Trend_Encoded,Market_Control_Encoded,HTF_Bias_Encoded,Trend_Reversal_Encoded,Reversal_Confirmed_Encoded,Hammer,Inverted_Hammer,Doji,Bullish_Engulfing,Bearish_Engulfing,Shooting_Star,Morning_Star,Evening_Star
675.35,686.41,664.31,680.08,21227841,4.73,22.1,6.33,11.04,0.214,0.2864,0.4995,675.58,675.58,668.65,673.93,1.65,6.93,0.0,5.28,0.2381,0.0,0.7619,665.7,674.25,665.18,672.17,6.47,9.07,2.08,0.52,0.7133,0.2293,0.0573,0,0,-1,0,0,0,0,0,0,0,0,0,0
680.72,688.56,674.0,675.81,13149130,4.91,14.56,7.84,1.81,0.3372,0.5385,0.1243,675.35,686.41,664.31,680.08,4.73,22.1,6.33,11.04,0.214,0.2864,0.4995,675.58,675.58,668.65,673.93,1.65,6.93,0.0,5.28,0.2381,0.0,0.7619,0,0,-1,0,0,0,0,0,0,0,0,0,0
674.73,674.73,666.27,670.85,11127161,3.88,8.46,0.0,4.58,0.4586,0.0,0.5414,680.72,688.56,674.0,675.81,4.91,14.56,7.84,1.81,0.3372,0.5385,0.1243,675.35,686.41,664.31,680.08,4.73,22.1,6.33,11.04,0.214,0.2864,0.4995,0,0,-1,0,0,0,0,0,0,0,0,0,0
676.31,688.7,674.37,687.49,14084409,11.18,14.33,1.21,1.94,0.7802,0.0844,0.1354,674.73,674.73,666.27,670.85,3.88,8.46,0.0,4.58,0.4586,0.0,0.5414,680.72,688.56,674.0,675.81,4.91,14.56,7.84,1.81,0.3372,0.5385,0.1243,0,0,-1,0,0,0,0,0,0,0,0,1,0
684.38,689.41,678.34,679.33,16892268,5.05,11.07,5.03,0.99,0.4562,0.4544,0.0894,676.31,688.7,674.37,687.49,11.18,14.33,1.21,1.94,0.7802,0.0844,0.1354,674.73,674.73,666.27,670.85,3.88,8.46,0.0,4.58,0.4586,0.0,0.5414,-1,-1,-1,-2,0,0,0,0,0,0,0,0,0
671.92,675.23,658.11,660.58,21370214,11.34,17.12,3.31,2.47,0.6624,0.1933,0.1443,684.38,689.41,678.34,679.33,5.05,11.07,5.03,0.99,0.4562,0.4544,0.0894,676.31,688.7,674.37,687.49,11.18,14.33,1.21,1.94,0.7802,0.0844,0.1354,-1,-1,-1,0,0,0,0,0,0,0,0,0,1
663.53,663.53,644.6,647.53,27745062,16.0,18.93,0.0,2.93,0.8452,0.0,0.1548,671.92,675.23,658.11,660.58,11.34,17.12,3.31,2.47,0.6624,0.1933,0.1443,684.38,689.41,678.34,679.33,5.05,11.07,5.03,0.99,0.4562,0.4544,0.0894,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
644.6,645.68,634.25,636.38,29362748,8.22,11.43,1.08,2.13,0.7192,0.0945,0.1864,663.53,663.53,644.6,647.53,16.0,18.93,0.0,2.93,0.8452,0.0,0.1548,671.92,675.23,658.11,660.58,11.34,17.12,3.31,2.47,0.6624,0.1933,0.1443,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
634.55,637.2,625.86,633.75,25054993,0.8,11.34,2.65,7.89,0.0705,0.2337,0.6958,644.6,645.68,634.25,636.38,8.22,11.43,1.08,2.13,0.7192,0.0945,0.1864,663.53,663.53,644.6,647.53,16.0,18.93,0.0,2.93,0.8452,0.0,0.1548,-1,-1,-1,0,0,0,0,1,0,0,0,0,0
619.41,620.37,605.75,607.41,39315769,12.0,14.62,0.96,1.66,0.8208,0.0657,0.1135,634.55,637.2,625.86,633.75,0.8,11.34,2.65,7.89,0.0705,0.2337,0.6958,644.6,645.68,634.25,636.38,8.22,11.43,1.08,2.13,0.7192,0.0945,0.1864,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
619.51,625.86,594.82,601.7,29500495,17.81,31.04,6.35,6.88,0.5738,0.2046,0.2216,619.41,620.37,605.75,607.41,12.0,14.62,0.96,1.66,0.8208,0.0657,0.1135,634.55,637.2,625.86,633.75,0.8,11.34,2.65,7.89,0.0705,0.2337,0.6958,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
607.89,618.96,604.37,613.91,27398798,6.02,14.59,5.05,3.52,0.4126,0.3461,0.2413,619.51,625.86,594.82,601.7,17.81,31.04,6.35,6.88,0.5738,0.2046,0.2216,619.41,620.37,605.75,607.41,12.0,14.62,0.96,1.66,0.8208,0.0657,0.1135,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
618.09,618.91,597.93,612.47,22105261,5.62,20.98,0.82,14.54,0.2679,0.0391,0.693,607.89,618.96,604.37,613.91,6.02,14.59,5.05,3.52,0.4126,0.3461,0.2413,619.51,625.86,594.82,601.7,17.81,31.04,6.35,6.88,0.5738,0.2046,0.2216,-1,-1,-1,0,0,1,0,0,0,0,0,0,0
618.18,620.81,597.06,599.41,30510390,18.77,23.75,2.63,2.35,0.7903,0.1107,0.0989,618.09,618.91,597.93,612.47,5.62,20.98,0.82,14.54,0.2679,0.0391,0.693,607.89,618.96,604.37,613.91,6.02,14.59,5.05,3.52,0.4126,0.3461,0.2413,-1,-1,-1,0,0,0,0,0,0,0,0,0,1
580.6,588.9,567.39,581.06,33734039,0.46,21.51,7.84,13.21,0.0214,0.3645,0.6141,618.18,620.81,597.06,599.41,18.77,23.75,2.63,2.35,0.7903,0.1107,0.0989,618.09,618.91,597.93,612.47,5.62,20.98,0.82,14.54,0.2679,0.0391,0.693,-1,-1,-1,0,0,0,0,1,0,0,0,0,0
566.91,567.34,500.6,509.35,88187018,57.56,66.74,0.43,8.75,0.8625,0.0064,0.1311,580.6,588.9,567.39,581.06,0.46,21.51,7.84,13.21,0.0214,0.3645,0.6141,618.18,620.81,597.06,599.41,18.77,23.75,2.63,2.35,0.7903,0.1107,0.0989,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
506.54,538.75,506.54,527.36,59578576,20.82,32.21,11.39,0.0,0.6464,0.3536,0.0,566.91,567.34,500.6,509.35,57.56,66.74,0.43,8.75,0.8625,0.0064,0.1311,580.6,588.9,567.39,581.06,0.46,21.51,7.84,13.21,0.0214,0.3645,0.6141,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
496.03,503.34,479.43,485.97,55970485,10.06,23.91,7.31,6.54,0.4207,0.3057,0.2735,506.54,538.75,506.54,527.36,20.82,32.21,11.39,0.0,0.6464,0.3536,0.0,566.91,567.34,500.6,509.35,57.56,66.74,0.43,8.75,0.8625,0.0064,0.1311,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
456.25,521.17,430.83,505.31,73297403,49.06,90.34,15.86,25.42,0.5431,0.1756,0.2814,496.03,503.34,479.43,485.97,10.06,23.91,7.31,6.54,0.4207,0.3057,0.2735,506.54,538.75,506.54,527.36,20.82,32.21,11.39,0.0,0.6464,0.3536,0.0,-1,-1,-1,0,0,0,0,0,1,0,0,0,0
484.85,493.6,459.45,464.34,38482258,20.51,34.15,8.75,4.89,0.6006,0.2562,0.1432,456.25,521.17,430.83,505.31,49.06,90.34,15.86,25.42,0.5431,0.1756,0.2814,496.03,503.34,479.43,485.97,10.06,23.91,7.31,6.54,0.4207,0.3057,0.2735,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
478.77,484.6,458.63,460.82,45445979,17.95,25.97,5.83,2.19,0.6912,0.2245,0.0843,484.85,493.6,459.45,464.34,20.51,34.15,8.75,4.89,0.6006,0.2562,0.1432,456.25,521.17,430.83,505.31,49.06,90.34,15.86,25.42,0.5431,0.1756,0.2814,-1,-1,-1,0,0,0,0,0,0,0,0,0,1
